gene_name,baseMean,logfoldchanges,lfcSE,stat,pvalue,pvals_adj,-log10_pvals_adj,significance,combined_score
ABCA6,55.866863,1.1514936518884762,0.1970364739763459,5.793311405001652,6.901197403012952e-09,8.425238578338788e-08,7.07441779232143,Up-regulated,8.146147178665014
ABCA9,5.768553,2.3015508804602693,0.808678193355235,2.83369936185931,0.0046012597218582,0.0173177323170825,1.7615089775990067,Up-regulated,4.054202538331663
ACE,21.962824,1.2084599407155336,0.285126219546691,4.203261077220152,2.6309683653580597e-05,0.0001778086995385,3.7500469943830255,Up-regulated,4.531781568512576
ADAMTS13,25.068655,1.5308476221368978,0.3008788805759464,5.054683862242744,4.311042697347514e-07,4.053405046625009e-06,5.3921799961288315,Up-regulated,8.254605925207969
AKR1B10,61.632492,1.0235096410825866,0.214156822332968,4.732558272212295,2.217076263151464e-06,1.8465663320355325e-05,4.733635087081733,Up-regulated,4.844921148994963
ALPK2,227.44954,-1.387213439937898,0.0846603196932721,-16.26751995418396,1.6781838152774252e-59,2.6219624275834434e-57,56.58137353599075,Down-regulated,78.49044181927287
ANKRD45,9.349557,1.4249355815206,0.5744957891547889,2.46291723669948,0.0137811723160177,0.0436029011390348,1.360484613787435,Up-regulated,1.9386029342970275
ARHGAP4,9.065456,1.6962907041138942,0.4813441816487501,3.503295081573098,0.0004595400831564,0.0023169435464251,2.635084547899602,Up-regulated,4.469869423156259
ARL9,3.1816158,3.830256614314364,1.5242156745450746,2.5063753628269034,0.0121976052771789,0.0394192001127052,1.4042921925924154,Up-regulated,5.37879945910712
ATP6V0D2,21.146688,1.1281067716771778,0.4290892412048741,2.6057674355515323,0.0091668679750468,0.031110932325967,1.507086973849326,Up-regulated,1.7001550207058904
BEX5,10.743081,1.5488309430259417,0.5673109994261359,2.71249974807918,0.0066777832141008,0.0237119120405465,1.6250334247152791,Up-regulated,2.5169020516504412
CADM2,4.530065,2.75677627643753,0.9992290972664803,2.7488954074212706,0.0059796463722619,0.0216189749282549,1.6651649021290797,Up-regulated,4.590487098545869
CALB2,14.567437,1.8725713619722435,0.6192580077807857,3.007746914161156,0.0026319222219289,0.0106412037093639,1.9730092428335957,Up-regulated,3.6946006050367313
CCDC62,25.227999,1.2098066267032097,0.2648654218764436,4.529872635707442,5.901925419388314e-06,4.516435522102171e-05,4.345204185496901,Up-regulated,5.256856817992674
CFAP206,14.878026,1.125975045683942,0.3400464869020149,3.281830833928045,0.0010313545902082,0.0047284762677388,2.3252787863497932,Up-regulated,2.6182058876881094
CFI,13.815673,1.1467409145641734,0.4433630875369737,2.5639051750544666,0.0103501817359758,0.0343453312523254,1.4641322906032184,Up-regulated,1.6789804019692727
CGAS,7.259462,2.379280930022764,0.7251251848112453,3.2674095172125392,0.0010853655493543,0.0049408038396552,2.3062023881762443,Up-regulated,5.487103362960695
CHI3L1,4.7999167,5.4736397229302085,2.153655155541728,2.536914839347105,0.0111834155227242,0.0366012831222525,1.4365036893830208,Up-regulated,7.8629036563427
CHI3L2,49.904667,1.084327320400808,0.184638078087266,5.818557751088837,5.9357551958415214e-09,7.307772156681438e-08,7.136215001636759,Up-regulated,7.737992890528834
CITED1,16.368473,1.0004441644071893,0.3183793594241869,3.1108931376659665,0.0018652242571344,0.0078660678504601,2.1042423118096525,Up-regulated,2.10517694134866
CLDN10,14.431531,1.3373834051413716,0.4366673128508073,3.0398048264145845,0.0023673150505545,0.0097028865469948,2.0130990466675294,Up-regulated,2.6922852579190693
CLEC14A,6.894018,2.2880228071484177,0.7658172210200606,2.9746299046580784,0.0029334222253425,0.0117194013045343,1.9310945740498735,Up-regulated,4.418388428186669
COL24A1,17.179749,1.0255790005854215,0.3969114094978391,2.5587044773298477,0.0105063012423773,0.0347316618400404,1.459274436076152,Up-regulated,1.4966012177308345
CRACR2B,8.110794,1.8629405197326856,0.5267976426862834,3.517366763989379,0.0004358510978673,0.0022119527488054,2.6552241545609463,Up-regulated,4.94652466650455
CRYM,17.819565,1.9341982227603105,0.3925086124321589,4.902308285255494,9.471703660389496e-07,8.427568734844185e-06,5.074297696707696,Up-regulated,9.814697586728762
CYP4X1,6.2744412,1.8563498528879572,0.6582181636415333,2.8050727781092992,0.0050305219808908,0.0186656970532122,1.728955787108635,Up-regulated,3.209546821048897
DIRAS1,28.554995,-1.3014461623476137,0.2364293729234396,-5.462291535010788,4.7002733709344286e-08,5.127630598420845e-07,6.290083269535662,Down-regulated,8.186204731984118
EGR3,436.68652,-1.088225658557311,0.0590148166231839,-18.270422925176547,1.423432855773585e-74,2.918926999870708e-72,71.53477676624863,Down-regulated,77.84597955620113
ELF3,9.785953,1.2231567563589272,0.4955946576684987,2.447881020481869,0.0143699099052354,0.0451820846906648,1.3450337347090355,Up-regulated,1.6451871001400378
FAM107A,20.073458,-1.64913445702481,0.4352620457877111,-3.765856621057788,0.000165979026115,0.000933294232534,3.029981417967196,Down-regulated,4.996846760514596
FAM228A,12.52449,1.368019628381596,0.4277252849444894,3.1749809426343374,0.0014984634219584,0.0065334996510904,2.184854127756334,Up-regulated,2.988923331921216
FBXO16,16.095547,1.4569519866106542,0.356043315975312,4.0639773917592255,4.824350081944703e-05,0.0003085515130382,3.5106723196027625,Up-regulated,5.114881010384278
FBXW10,8.257301,5.266591819346808,1.452407405601805,3.619226808588696,0.0002954845733496,0.0015592840935427,2.8070747513809904,Up-regulated,14.7837169219181
FBXW10B,9.212948,1.891509692231295,0.4989468731245046,3.7709619872931706,0.0001626194456299,0.0009167891536283,3.0377305334081455,Up-regulated,5.745896746328449
