gene_id
5S_rRNA
A4GNT
ABCA17P
ABCA3P1
ABCB10P1
ABHD14A-ACY1
ABHD17AP5
ABI1P1
ABR-AS1
ABRAXAS1P2
ACAA2P1
ACCSLP1
ACKR1
ACOD1
ACSL3P1
ACTG1P11
ACTG1P12
ACTG1P15
ACTG1P19
ACTG1P21
ACTG1P23
ACTL8
ACTN2
ACTR3C
ACTR3P2
ACTRT2
ADAD1
ADAM20P3
ADAMTS7P4
ADGB-DT
ADGRA1
ADGRB1
ADGRD1-AS2
ADGRG7
ADH7
ADIPINT
ADIPOQ-AS1
ADIRF
ADORA2BP1
ADRA2C
ADRB3
AGAP10P
AGGF1P1
AGGF1P6
AGKP2
AGMO
AGXT
AHCYP7
AIRE
AK5-AS1
AKAP1-DT
AKAP14
AKAP4
AKIRIN1P1
AKR1B10P1
AKR1B10P2
AKR1B1P7
AKR1E2
ALDH3A1
ALDH3B2
ALG1L12P
ALG1L7P
ALG3P1
ALPI
AMBN
AMER3
ANAPC1P5
ANAPC1P6
ANHX
ANK3-DT
ANKRD11P1
ANKRD20A2P
ANKRD20A7P
ANKRD20A8P
ANKRD34B
ANKRD34C
ANKRD62
ANKRD7
ANP32D
ANXA8
ANXA8L1
APCS
APOBEC3D
ARF4P3
ARHGAP19-SLIT1
ARHGAP27P2
ARHGAP42P1
ARHGAP8
ARHGEF15
ARHGEF7-IT1
ARL14
ARL2BPP4
ARL2BPP8
ARL5AP3
ARL8BP2
ARMH2
ARPC3P2
ARPP19P2
ART5
ASCL1
ASCL5
ASIC5
ASNSP3
ASNSP6
ASPA
ASS1P14
ASS1P3
ASZ1
ATF1P1
ATF7-AS1
ATOH1
ATOH7
ATP11AUN
ATP1A3
ATP1B3P1
ATP2B2-IT2
ATP5F1AP10
ATP5F1AP4
ATP5F1EP2
ATP5MC2P4
ATP5MFP1
ATP5MGP2
ATP5MGP4
ATP5PBP7
ATP5POP1
ATP6V1FP1
ATP6V1G3
ATXN3L
AWAT1
B3GNT6
B3GNTL1P2
BAG1P1
BANF1P2
BARX1
BCAS1-AS1
BCAS2P3
BCL6B
BCL9P1
BCRP2
BCRP3
BCRP4
BCRP8
BEND2
BEND7-DT
BEND7P1
BEX5
BFSP2
BLACE
BMP8B-AS1
BNAT1
BNIP3P3
BNIP3P5
BOLA2-SMG1P6
BOLA3P3
BOLA3P4
BRD7P5
BRINP2
BRINP3
BRINP3-DT
BRWD1P3
BTBD6P1
BTF3P13
BTNL9
BUB1B-PAK6
C10orf67-AS1
C12orf42-AS1
C12orf56
C17orf114
C17orf99
C18orf15
C18orf63
C1GALT1P2
C1QL1P1
C1QTNF1-AS1
C1QTNF5
C1QTNF9B
C1orf105
C1orf115
C2orf69P3
C2orf69P4
C4orf36
C4orf46P2
C5orf58
C6orf52
C7orf78
C9orf78P2
CA10
CA5A
CABP7-DT
CACNA1B-AS2
CADM3
CALCR
CALHM6
CAMKV
CAPNS1P1
CAPZA1P1
CAPZA1P4
CARD16
CASC20
CATIP
CBLL1P1
CBX1P2
CBX1P4
CBX3P3
CBX3P7
CBY2
CCAT2
CCDC110
CCDC148-AS1
CCDC158
CCDC160
CCDC177
CCDC178
CCDC182
CCDC194
CCDC3
CCDC34P1
CCDC42
CCDC70
CCDC86P2
CCDC88C-DT
CCDC92B
CCL17
CCL18
CCL19
CCL23
CCL24
CCL25
CCL8
CCND3P1
CCNG2P1
CCNL2P1
CCR1
CCR2
CCR5AS
CCSER2P1
CCT8L1P
CD177P1
CD1A
CD200R1L
CD300H
CD300LG
CD3E
CD79B
CD99
CDC27P2
CDC27P3
CDC37P2
CDC42P3
CDC42P7
CDH1
CDHR17P
CDK20-AS1
CDK3
CDRT15L2
CDX1
CDY3P
CEACAM20
CEACAM3
CEACAMP2
CEACAMP7
CEACAMP8
CEACAMP9
CEBPA-DT
CELA1
CELA3A
CENPPP1
CERS3
CES5A
CFAP20DC-AS1
CFAP20DC-DT
CFAP97D1
CFAP97P1
CFI
CFL1P6
CGB3
CH25H
CHCT1
CHEK2P2
CHIAP1
CHIAP3
CHORDC2P
CHRNA9
CHRNB3
CHSY3-AS1
CIAO2AP2
CIB3
CIB4
CICP11
CICP13
CIMIP6
CIROZ
CKMT1A
CKMT1B
CKS1BP2
CLCA4
CLCN3P1
CLDN17
CLDND1-AS1
CLEC12A-AS1
CLEC14A
CLEC19A
CLEC7A
CLIC4P2
CLIC6
CLTRN
CLUHP10
CMBL
CMPK1P1
CNBD1
CNGA3
CNN2P2
CNN2P6
CNN2P7
CNOT10-AS1
CNTNAP2-AS1
CNTNAP5-DT
COCH-AS1
COL25A1-DT
COL26A1
COL6A4P1
COMMD4P2
COQ7-DT
CORO1CP1
COX4I1P1
COX5AP2
COX6A1P1
COX6A1P5
COX6A2
COX6CP5
COX7A2P2
COX7BP3
CPMER
CR1L
CRB3
CRIP1P3
CRTAC1
CRTC1P1
CRYBA2
CRYGB
CSAG1
CSP2
CT47B1
CTAG2
CTAGE13P
CTAGE15
CTAGE3P
CTB-1I21.1
CTB-30L5.1
CTBP2P3
CTBP2P6
CTCFL
CTDSPL2P1
CTLA4
CTNNA2
CTNND2
CTXN2
CTXND2
CXCL14
CXCL16
CXCL6
CXCL9
CXCR2
CXCR4
CYBB
CYCSP51
CYGB
CYP2A13
CYP2C18
CYP3A7-CYP3A51P
CYP4F10P
CYP4F12
CYP4F22
DACH2
DBF4P2
DBIP2
DBX2
DCAF12L1
DCDC2C
DDIT4L-AS1
DDX18P6
DDX39AP1
DDX43P1
DDX53
DDX59-AS1
DDX6P1
DEFA11P
DEFB109B
DEFB122
DEFB131B
DEFB132
DEFB135
DES
DGAT2-DT
DGAT2L7P
DHFRP5
DHX40P1
DIMT1P1
DKFZp451B082
DKK2-AS2
DLGAP3
DLX6
DMBT1L1
DMP1-AS1
DMRTC2
DNAJA1P4
DNAJC17P1
DNAJC19P8
DNM1P33
DNM1P47
DNM1P49
DNM1P5
DNMT3AP1
DOCK8-AS1
DPEP2NB
DPEP3
DPP10-AS1
DPP4-DT
DPPA2
DPPA3P11
DPPA4P3
DPY19L2P4
DSC1
DSCAM-AS1
DUOXA2
DUSP5P1
DUSP5P2
DUX4L16
DUX4L18
DUXAP4
DYNLL1P4
DYNLL2-DT
DYNLRB2
EBF3
EBI3
ECM1P1
ECRG4
ECSCR
EEF1A1P18
EEF1A1P21
EEF1A1P45
EEF1B2P8
EEF1GP2
EFCAB9
EGFEM1P
EGILA
EIF1P1
EIF2S2P1
EIF3FP1
EIF3FP2
EIF3IP1
EIF3KP1
EIF3LP1
EIF3LP3
EIF4A1P12
EIF4A1P3
EIF4A1P5
EIF4A1P9
EIF4EP4
EIF5P2
ELANE
ELF2P2
ELF2P4
ELMO1-AS1
ELOA3BP
ELOAP1
ELOCP18
ELOCP2
ELOCP23
EML6-AS1
EMX2OS
EN2
ENAHP1
ENOX1
ENOX1-AS2
ENPP3
ENPP7P13
ENSG00000167046
ENSG00000167774
ENSG00000173867
ENSG00000180015
ENSG00000189372
ENSG00000196893
ENSG00000203565
ENSG00000204399
ENSG00000205018
ENSG00000205236
ENSG00000205537
ENSG00000205745
ENSG00000206976
ENSG00000213045
ENSG00000213331
ENSG00000213488
ENSG00000213560
ENSG00000213605
ENSG00000214067
ENSG00000214132
ENSG00000214614
ENSG00000214748
ENSG00000214776
ENSG00000214883
ENSG00000214890
ENSG00000214915
ENSG00000214999
ENSG00000215097
ENSG00000215154
ENSG00000215297
ENSG00000215512
ENSG00000215838
ENSG00000216378
ENSG00000217041
ENSG00000217495
ENSG00000217786
ENSG00000218029
ENSG00000218586
ENSG00000218793
ENSG00000219039
ENSG00000219391
ENSG00000219604
ENSG00000219699
ENSG00000220291
ENSG00000220326
ENSG00000220370
ENSG00000220702
ENSG00000220949
ENSG00000223342
ENSG00000223536
ENSG00000223542
ENSG00000223563
ENSG00000223634
ENSG00000223660
ENSG00000223720
ENSG00000223726
ENSG00000223727
